platform, song, url
apple music, Happy Birthday Amar Amaar Ammar Amarr Aamar Aammar, https://music.apple.com/us/song/happy-birthday-amar-amaar-ammar-amarr-aamar-aammar/1729835233
apple music, Happy Birthday Amara Amarah Amarra Amera, https://music.apple.com/us/song/happy-birthday-amara-amarah-amarra-amera/1725737996
apple music, Happy Birthday Amin, https://music.apple.com/us/song/happy-birthday-amin/1736292256
apple music, Happy Birthday Amina Ameena, https://music.apple.com/us/song/happy-birthday-amina-ameena/1724101833
apple music, Happy Birthday Aminata Aminatta Aminahta Ameenata Ameenatta, https://music.apple.com/us/song/happy-birthday-aminata-aminatta-aminahta-ameenata-ameenatta/1736292407
apple music, Happy Birthday Amit, https://music.apple.com/us/song/happy-birthday-amit/1728708212
apple music, Happy Birthday An Ahn Aan, https://music.apple.com/us/song/happy-birthday-an-ahn-aan/1728708213
apple music, Happy Birthday Anastasiya Anastasia Anastaciya Annastasia, https://music.apple.com/us/song/happy-birthday-anastasiya-anastasia-anastaciya-annastasia/1726847590
apple music, Happy Birthday Anaya Anaiya Anayah Anaiyah Anayeh Anaiia, https://music.apple.com/us/song/happy-birthday-anaya-anaiya-anayah-anaiyah-anayeh-anaiia/1725737997
apple music, Happy Birthday Andreas Andreass Andreus Andreos Andrius, https://music.apple.com/us/song/happy-birthday-andreas-andreass-andreus-andreos-andrius/1729834440
apple music, Happy Birthday Andres Andrez Andris Aindreas Andrus, https://music.apple.com/us/song/happy-birthday-andres-andrez-andris-aindreas-andrus/1729834441
apple music, Happy Birthday Andrey Andre Andrei Andrej Andriy, https://music.apple.com/us/song/happy-birthday-andrey-andre-andrei-andrej-andriy/1725747862
apple music, Happy Birthday Andy, https://music.apple.com/us/song/happy-birthday-andy/1736292408
apple music, Happy Birthday Angel Angle Angell Anjel Angele Angil, https://music.apple.com/us/song/happy-birthday-angel-angle-angell-anjel-angele-angil/1728340188
apple music, Happy Birthday Angelo Angello Angelou Angelow Angielo, https://music.apple.com/us/song/happy-birthday-angelo-angello-angelou-angelow-angielo/1731486110
apple music, Happy Birthday Angie Angy Angee Anjee, https://music.apple.com/us/song/happy-birthday-angie-angy-angee-anjee/1733746086
apple music, Happy Birthday Anh, https://music.apple.com/us/song/happy-birthday-anh/1725747863
apple music, Happy Birthday Anil Anill Aniel Aneel Anyl Anhill, https://music.apple.com/us/song/happy-birthday-anil-anill-aniel-aneel-anyl-anhill/1728340189
apple music, Happy Birthday Anita Annita Aneeta Aneta Aneetha, https://music.apple.com/us/song/happy-birthday-anita-annita-aneeta-aneta-aneetha/1725452239
apple music, Happy Birthday Anne Annie, https://music.apple.com/us/song/happy-birthday-anne-annie/1728340190
apple music, Happy Birthday Anton Antonn Antton Antun, https://music.apple.com/us/song/happy-birthday-anton-antonn-antton-antun/1728375044
apple music, Happy Birthday Antonia Antoniya Anto Nia Antonya, https://music.apple.com/us/song/happy-birthday-antonia-antoniya-anto-nia-antonya/1728348086
apple music, Happy Birthday Antonio Antonyo Antoniyo Antoneo Antonieo, https://music.apple.com/us/song/happy-birthday-antonio-antonyo-antoniyo-antoneo-antonieo/1725452240
apple music, Happy Birthday Anwar Anwer Enwar Anwaar Anuar Anouar, https://music.apple.com/us/song/happy-birthday-anwar-anwer-enwar-anwaar-anuar-anouar/1728683331
apple music, Happy Birthday Ari Arie, https://music.apple.com/us/song/happy-birthday-ari-arie/1724101834
apple music, Happy Birthday Armando, https://music.apple.com/us/song/happy-birthday-armando/1728683332
apple music, Happy Birthday Artur Arturh Artour Artuur Arturr Artu R, https://music.apple.com/us/song/happy-birthday-artur-arturh-artour-artuur-arturr-artu-r/1731257891
apple music, Happy Birthday Arun Arune Aroon Aroone Arunn Arrun Arrune, https://music.apple.com/us/song/happy-birthday-arun-arune-aroon-aroone-arunn-arrun-arrune/1728683333
apple music, Happy Birthday Asha Aasha Ashaa Ashah Aesha Aeshaa, https://music.apple.com/us/song/happy-birthday-asha-aasha-ashaa-ashah-aesha-aeshaa/1728340191
apple music, Happy Birthday Ashok, https://music.apple.com/us/song/happy-birthday-ashok/1726847591
apple music, Happy Birthday Ashraf Ashraaf Ashraff Ashref Ashrafe, https://music.apple.com/us/song/happy-birthday-ashraf-ashraaf-ashraff-ashref-ashrafe/1731486111
apple music, Happy Birthday Asima Asimah Asyma Aseema Azima, https://music.apple.com/us/song/happy-birthday-asima-asimah-asyma-aseema-azima/1733746087
apple music, Happy Birthday Asma Asmah Asmaa Asmah Aasma Esmah Asmae, https://music.apple.com/us/song/happy-birthday-asma-asmah-asmaa-asmah-aasma-esmah-asmae/1728667724
apple music, Happy Birthday Athena Athina Atena Atheena Athyna, https://music.apple.com/us/song/happy-birthday-athena-athina-atena-atheena-athyna/1725737998
apple music, Happy Birthday Aung Ong Aong Aungg, https://music.apple.com/us/song/happy-birthday-aung-ong-aong-aungg/1728340192
apple music, Happy Birthday Autumn Automn Autum Autymn Autym Autumm, https://music.apple.com/us/song/happy-birthday-autumn-automn-autum-autymn-autym-autumm/1725738000
apple music, Happy Birthday Avi Avy, https://music.apple.com/us/song/happy-birthday-avi-avy/1724101835
apple music, Happy Birthday Ayo Ayoo Ayoh Ayoe Ayow Ayhoe Aiyoh Aio Ao, https://music.apple.com/us/song/happy-birthday-ayo-ayoo-ayoh-ayoe-ayow-ayhoe-aiyoh-aio-ao/1731520294
apple music, Happy Birthday Ays E Ayshe Aysheh Ayse Ayzhe, https://music.apple.com/us/song/happy-birthday-ays-e-ayshe-aysheh-ayse-ayzhe/1730309894
apple music, Happy Birthday Aziz Azeez Azez Azees Azyz Azis Aziez Azziz, https://music.apple.com/us/song/happy-birthday-aziz-azeez-azez-azees-azyz-azis-aziez-azziz/1729835234
apple music, Happy Birthday Babu, https://music.apple.com/us/song/happy-birthday-babu/1736292409
apple music, Happy Birthday Barb, https://music.apple.com/us/song/happy-birthday-barb/1733746088
apple music, Happy Birthday Beatrice Beatrix Beatriz Beatrijs Beatrise, https://music.apple.com/us/song/happy-birthday-beatrice-beatrix-beatriz-beatrijs-beatrise/1728708214
apple music, Happy Birthday Beau Bo Bow Boe, https://music.apple.com/us/song/happy-birthday-beau-bo-bow-boe/1725738001
apple music, Happy Birthday Becky Beki, https://music.apple.com/us/song/happy-birthday-becky-beki/1725738002
apple music, Happy Birthday Bekele Bekelle Beqele Beqeelle Bkele, https://music.apple.com/us/song/happy-birthday-bekele-bekelle-beqele-beqeelle-bkele/1728708216
apple music, Happy Birthday Berele Berel, https://music.apple.com/us/song/happy-birthday-berele-berel/1724101836
apple music, Happy Birthday Bernard Bernhard Bearnard Bernaard Burnard, https://music.apple.com/us/song/happy-birthday-bernard-bernhard-bearnard-bernaard-burnard/1728348087
apple music, Happy Birthday Beth, https://music.apple.com/us/song/happy-birthday-beth/1725739727
apple music, Happy Birthday Bibi Bebe Beebee Beebi, https://music.apple.com/us/song/happy-birthday-bibi-bebe-beebee-beebi/1726847592
apple music, Happy Birthday Bin Been Binn Byn, https://music.apple.com/us/song/happy-birthday-bin-been-binn-byn/1725452241
apple music, Happy Birthday Blanca Blankah Blanka Blancka Blanqua, https://music.apple.com/us/song/happy-birthday-blanca-blankah-blanka-blancka-blanqua/1728667725
apple music, Happy Birthday Blessing, https://music.apple.com/us/song/happy-birthday-blessing/1729835235
apple music, Happy Birthday Brady Bradey Braedie Braedy Braidey, https://music.apple.com/us/song/happy-birthday-brady-bradey-braedie-braedy-braidey/1731520295
apple music, Happy Birthday Brielle Briell Briele Breel Bryelle Bryel, https://music.apple.com/us/song/happy-birthday-brielle-briell-briele-breel-bryelle-bryel/1725738004
apple music, Happy Birthday Brigitte Brigette Bridget Bridgett Brigitt, https://music.apple.com/us/song/happy-birthday-brigitte-brigette-bridget-bridgett-brigitt/1728683334
apple music, Happy Birthday Bruno Brunno Bruuno Bruneau Brunow, https://music.apple.com/us/song/happy-birthday-bruno-brunno-bruuno-bruneau-brunow/1728375045
apple music, Happy Birthday Carey Cary Cari Keri, https://music.apple.com/us/song/happy-birthday-carey-cary-cari-keri/1726847593
apple music, Happy Birthday Carine Karine Kareen Carin, https://music.apple.com/us/song/happy-birthday-carine-karine-kareen-carin/1725739728
apple music, Happy Birthday Carla Karla Carlah Karlah Carlla Karlla, https://music.apple.com/us/song/happy-birthday-carla-karla-carlah-karlah-carlla-karlla/1731520297
apple music, Happy Birthday Carlos Karlos Carloz Carloss Karlus, https://music.apple.com/us/song/happy-birthday-carlos-karlos-carloz-carloss-karlus/1725452242
apple music, Happy Birthday Carly Carlie Carlee Carleigh Carli Karly, https://music.apple.com/us/song/happy-birthday-carly-carlie-carlee-carleigh-carli-karly/1736292410
apple music, Happy Birthday Carmen Carmin Carmine Karmen Karmyn Carman, https://music.apple.com/us/song/happy-birthday-carmen-carmin-carmine-karmen-karmyn-carman/1725747864
apple music, Happy Birthday Carolina Karolina Caroleena Caralina, https://music.apple.com/us/song/happy-birthday-carolina-karolina-caroleena-caralina/1731257892
apple music, Happy Birthday Caroline Carolyn Karoline Karolinn Karalyn, https://music.apple.com/us/song/happy-birthday-caroline-carolyn-karoline-karolinn-karalyn/1728708217
apple music, Happy Birthday Cathy Cathie Kathy Kathie Cathi Kathi, https://music.apple.com/us/song/happy-birthday-cathy-cathie-kathy-kathie-cathi-kathi/1733746089
apple music, Happy Birthday Cecilia Cecelia Cecillia Celia Cecylia, https://music.apple.com/us/song/happy-birthday-cecilia-cecelia-cecillia-celia-cecylia/1728667726
apple music, Happy Birthday Cesar, https://music.apple.com/us/song/happy-birthday-cesar/1728348088
apple music, Happy Birthday Chaim, https://music.apple.com/us/song/happy-birthday-chaim/1725738005
apple music, Happy Birthday Chao Chow Chou Cao, https://music.apple.com/us/song/happy-birthday-chao-chow-chou-cao/1725747865
apple music, Happy Birthday Chen, https://music.apple.com/us/song/happy-birthday-chen/1726847594
apple music, Happy Birthday Cheng Cheung Chang Cheang, https://music.apple.com/us/song/happy-birthday-cheng-cheung-chang-cheang/1728340193
apple music, Happy Birthday Chezzy Chezi, https://music.apple.com/us/song/happy-birthday-chezzy-chezi/1724101837
apple music, Happy Birthday Chi Chee Chie Chy Che Qi, https://music.apple.com/us/song/happy-birthday-chi-chee-chie-chy-che-qi/1730309895
apple music, Happy Birthday Chun Choon Cheun Chune Chunn Choon Chuen, https://music.apple.com/us/song/happy-birthday-chun-choon-cheun-chune-chunn-choon-chuen/1728683335
apple music, Happy Birthday Chunyan Choon Yan Chunian Chuniyan Chunyen, https://music.apple.com/us/song/happy-birthday-chunyan-choon-yan-chunian-chuniyan-chunyen/1729834442
apple music, Happy Birthday Cj, https://music.apple.com/us/song/happy-birthday-cj/1724101838
apple music, Happy Birthday Clara Klara Clairah Klarah Klairah Clairra, https://music.apple.com/us/song/happy-birthday-clara-klara-clairah-klarah-klairah-clairra/1731257893
apple music, Happy Birthday Claude Claud Claudd Cloud Klaude Klaud, https://music.apple.com/us/song/happy-birthday-claude-claud-claudd-cloud-klaude-klaud/1728708218
apple music, Happy Birthday Claudia Klaudia Klavdia Claudie, https://music.apple.com/us/song/happy-birthday-claudia-klaudia-klavdia-claudie/1725747866
apple music, Happy Birthday Claudio Klaudio Claudiu, https://music.apple.com/us/song/happy-birthday-claudio-klaudio-claudiu/1729835236
apple music, Happy Birthday Cong Kong Khong Kung Krong Kongg Khung, https://music.apple.com/us/song/happy-birthday-cong-kong-khong-kung-krong-kongg-khung/1731486112
apple music, Happy Birthday Cristina Krystyna Kristyna Khristina, https://music.apple.com/us/song/happy-birthday-cristina-krystyna-kristyna-khristina/1728348089
apple music, Happy Birthday Dan Dann, https://music.apple.com/us/song/happy-birthday-dan-dann/1724101839
apple music, Happy Birthday Darya Daria Darya Daryah Dariya Dariyah, https://music.apple.com/us/song/happy-birthday-darya-daria-darya-daryah-dariya-dariyah/1728667907
apple music, Happy Birthday Devin Devan Devyn, https://music.apple.com/us/song/happy-birthday-devin-devan-devyn/1733746090
apple music, Happy Birthday Diego Di Ego Deego Dieggo Dyego Diegho, https://music.apple.com/us/song/happy-birthday-diego-di-ego-deego-dieggo-dyego-diegho/1728683337
apple music, Happy Birthday Dilip Dileep Dileep Dilipe Dilep Deleep, https://music.apple.com/us/song/happy-birthday-dilip-dileep-dileep-dilipe-dilep-deleep/1728708219
apple music, Happy Birthday Dina Deena Dena Dinah Dyna, https://music.apple.com/us/song/happy-birthday-dina-deena-dena-dinah-dyna/1728708220
apple music, Happy Birthday Dinesh Dinush Dinash Dines Dinish Dinesha, https://music.apple.com/us/song/happy-birthday-dinesh-dinush-dinash-dines-dinish-dinesha/1728348090
apple music, Happy Birthday Dipak Deepak Dipack Deepack Dhipak Dheepak, https://music.apple.com/us/song/happy-birthday-dipak-deepak-dipack-deepack-dhipak-dheepak/1731486113
apple music, Happy Birthday Dmitriy Dmitry Dmitri Dmitrii Dmitrij, https://music.apple.com/us/song/happy-birthday-dmitriy-dmitry-dmitri-dmitrii-dmitrij/1725747867
apple music, Happy Birthday Dominique Dominik Domenique Domenik, https://music.apple.com/us/song/happy-birthday-dominique-dominik-domenique-domenik/1729834443
apple music, Happy Birthday Dov, https://music.apple.com/us/song/happy-birthday-dov/1725747868
apple music, Happy Birthday Dovi Dovy Dovie Dovey Dovii, https://music.apple.com/us/song/happy-birthday-dovi-dovy-dovie-dovey-dovii/1726847595
apple music, Happy Birthday Dovid Dovyd, https://music.apple.com/us/song/happy-birthday-dovid-dovyd/1724101840
apple music, Happy Birthday Dulce Dulcie Dulsay Dulsy, https://music.apple.com/us/song/happy-birthday-dulce-dulcie-dulsay-dulsy/1733746091
apple music, Happy Birthday Dung Doungh, https://music.apple.com/us/song/happy-birthday-dung-doungh/1729834444
apple music, Happy Birthday Edgar Eadgar Egar Eddgar Ediger Edgur, https://music.apple.com/us/song/happy-birthday-edgar-eadgar-egar-eddgar-ediger-edgur/1728667908
apple music, Happy Birthday Eduardo Edwardo, https://music.apple.com/us/song/happy-birthday-eduardo-edwardo/1726847596
apple music, Happy Birthday Efi Effy, https://music.apple.com/us/song/happy-birthday-efi-effy/1724101841
apple music, Happy Birthday Ekaterina, https://music.apple.com/us/song/happy-birthday-ekaterina/1725747869
apple music, Happy Birthday Elsa Elsah Ellsa Elsaa Elsah, https://music.apple.com/us/song/happy-birthday-elsa-elsah-ellsa-elsaa-elsah/1729834445
apple music, Happy Birthday Elvira Alvira Alvera Elvera Elvire Alveera, https://music.apple.com/us/song/happy-birthday-elvira-alvira-alvera-elvera-elvire-alveera/1731257894
apple music, Happy Birthday Emerson Emersyn, https://music.apple.com/us/song/happy-birthday-emerson-emersyn/1725738006
apple music, Happy Birthday Emery Emory Emry Emmery Emmory Emorye, https://music.apple.com/us/song/happy-birthday-emery-emory-emry-emmery-emmory-emorye/1725738007
apple music, Happy Birthday Emil Emile, https://music.apple.com/us/song/happy-birthday-emil-emile/1724101842
apple music, Happy Birthday Emine, https://music.apple.com/us/song/happy-birthday-emine/1731257895
apple music, Happy Birthday Enrique, https://music.apple.com/us/song/happy-birthday-enrique/1729834446
apple music, Happy Birthday Erika Arika Aeryka Eryka Erykah Erike Ereca, https://music.apple.com/us/song/happy-birthday-erika-arika-aeryka-eryka-erykah-erike-ereca/1728667909
apple music, Happy Birthday Ernesto Earnesto, https://music.apple.com/us/song/happy-birthday-ernesto-earnesto/1730309896
apple music, Happy Birthday Essie Essy Essi Esi Ecy Ese, https://music.apple.com/us/song/happy-birthday-essie-essy-essi-esi-ecy-ese/1731520298
apple music, Happy Birthday Esther Ester Eszter Hester, https://music.apple.com/us/song/happy-birthday-esther-ester-eszter-hester/1725747870
apple music, Happy Birthday Eunice Eunis Eunys Eunicee Eunyce Euniece, https://music.apple.com/us/song/happy-birthday-eunice-eunis-eunys-eunicee-eunyce-euniece/1731486114
apple music, Happy Birthday Everett Everitt, https://music.apple.com/us/song/happy-birthday-everett-everitt/1725738008
apple music, Happy Birthday Evgeniy Yevgeniy Yevgeny Eugeniy Yevgeni, https://music.apple.com/us/song/happy-birthday-evgeniy-yevgeniy-yevgeny-eugeniy-yevgeni/1728348091
apple music, Happy Birthday Fabio Fabbio Phabio Fabiyo Fabiu Fabyo, https://music.apple.com/us/song/happy-birthday-fabio-fabbio-phabio-fabiyo-fabiu-fabyo/1731486115
apple music, Happy Birthday Farley Farleigh Farlee Farlie Farly, https://music.apple.com/us/song/happy-birthday-farley-farleigh-farlee-farlie-farly/1725739729
apple music, Happy Birthday Farzana Farzanna Farzaneh Farzanne Farzannah, https://music.apple.com/us/song/happy-birthday-farzana-farzanna-farzaneh-farzanne-farzannah/1731486116
apple music, Happy Birthday Fatima Fatimah Fa Tima Fateema, https://music.apple.com/us/song/happy-birthday-fatima-fatimah-fa-tima-fateema/1725452243
apple music, Happy Birthday Fatma Fatmah, https://music.apple.com/us/song/happy-birthday-fatma-fatmah/1725747871
apple music, Happy Birthday Fatoumata, https://music.apple.com/us/song/happy-birthday-fatoumata/1728667910
apple music, Happy Birthday Felipe Felippe Phelipe Phelippe, https://music.apple.com/us/song/happy-birthday-felipe-felippe-phelipe-phelippe/1728708221
apple music, Happy Birthday Felix Feliks Felic Phelix Pheliks Felex, https://music.apple.com/us/song/happy-birthday-felix-feliks-felic-phelix-pheliks-felex/1728340194
apple music, Happy Birthday Fernando, https://music.apple.com/us/song/happy-birthday-fernando/1725747872
apple music, Happy Birthday Flavia Flaviah Flavea Flaviah Flavija, https://music.apple.com/us/song/happy-birthday-flavia-flaviah-flavea-flaviah-flavija/1731520300
apple music, Happy Birthday Florence Florens Florents Florance, https://music.apple.com/us/song/happy-birthday-florence-florens-florents-florance/1728667911
apple music, Happy Birthday Fouad Fuad, https://music.apple.com/us/song/happy-birthday-fouad-fuad/1724101843
apple music, Happy Birthday Francisca Francesca Franziska Fransisca, https://music.apple.com/us/song/happy-birthday-francisca-francesca-franziska-fransisca/1728340195
apple music, Happy Birthday Francisco Francesco, https://music.apple.com/us/song/happy-birthday-francisco-francesco/1725739730
apple music, Happy Birthday Fred Fredd, https://music.apple.com/us/song/happy-birthday-fred-fredd/1729835447
apple music, Happy Birthday Galina Galyina Galena Galeena Ghalina, https://music.apple.com/us/song/happy-birthday-galina-galyina-galena-galeena-ghalina/1728683338
apple music, Happy Birthday Ganesh, https://music.apple.com/us/song/happy-birthday-ganesh/1730310017
apple music, Happy Birthday Gang Ghang Geng, https://music.apple.com/us/song/happy-birthday-gang-ghang-geng/1725747873
apple music, Happy Birthday Garrett Garret, https://music.apple.com/us/song/happy-birthday-garrett-garret/1724101844
apple music, Happy Birthday Getzy Getzi, https://music.apple.com/us/song/happy-birthday-getzy-getzi/1724101845
apple music, Happy Birthday Ghulam Gholam Gulam Goulam, https://music.apple.com/us/song/happy-birthday-ghulam-gholam-gulam-goulam/1725747874
apple music, Happy Birthday Ginger Jinjer Jinjor, https://music.apple.com/us/song/happy-birthday-ginger-jinjer-jinjor/1733746092
apple music, Happy Birthday Giovanni Giovani, https://music.apple.com/us/song/happy-birthday-giovanni-giovani/1730310018
apple music, Happy Birthday Gita Geeta Geetha Gitta, https://music.apple.com/us/song/happy-birthday-gita-geeta-geetha-gitta/1726847897
apple music, Happy Birthday Giuseppe Guiseppe Giuseppi Giuseppo, https://music.apple.com/us/song/happy-birthday-giuseppe-guiseppe-giuseppi-giuseppo/1728348092
apple music, Happy Birthday Gladys Gladyss Gladdys Gladis Gladice, https://music.apple.com/us/song/happy-birthday-gladys-gladyss-gladdys-gladis-gladice/1728667912
apple music, Happy Birthday Goldie Goldi Goldy Goldee, https://music.apple.com/us/song/happy-birthday-goldie-goldi-goldy-goldee/1731520301
apple music, Happy Birthday Gopal Gopaal Gopall Gopaull Gopaul Gopaol, https://music.apple.com/us/song/happy-birthday-gopal-gopaal-gopall-gopaull-gopaul-gopaol/1728683339
apple music, Happy Birthday Gordon Gorden, https://music.apple.com/us/song/happy-birthday-gordon-gorden/1724101846
apple music, Happy Birthday Grace, https://music.apple.com/us/song/happy-birthday-grace/1726847898
apple music, Happy Birthday Guadalupe Guadeloupe Guadalupeh Guadelupe, https://music.apple.com/us/song/happy-birthday-guadalupe-guadeloupe-guadalupeh-guadelupe/1729835448
apple music, Happy Birthday Guillermo Guilermo Gilermo Guiermo Gwilhermo, https://music.apple.com/us/song/happy-birthday-guillermo-guilermo-gilermo-guiermo-gwilhermo/1729834447
apple music, Happy Birthday Gul Gu L Gull Gool Gooli Ghul Gulle, https://music.apple.com/us/song/happy-birthday-gul-gu-l-gull-gool-gooli-ghul-gulle/1728348093
apple music, Happy Birthday Guohua Guo Hua Guohuah Guhua Guohwa, https://music.apple.com/us/song/happy-birthday-guohua-guo-hua-guohuah-guhua-guohwa/1731520302
apple music, Happy Birthday Guoqiang Guo Qiang Kwok Keung Kok Chiang, https://music.apple.com/us/song/happy-birthday-guoqiang-guo-qiang-kwok-keung-kok-chiang/1729835449
apple music, Happy Birthday Guy, https://music.apple.com/us/song/happy-birthday-guy/1736292411
apple music, Happy Birthday Gwen Gwyn Gwenn, https://music.apple.com/us/song/happy-birthday-gwen-gwyn-gwenn/1725739731
apple music, Happy Birthday Ha Hah Haw Haa Hahh Haah, https://music.apple.com/us/song/happy-birthday-ha-hah-haw-haa-hahh-haah/1728667913
apple music, Happy Birthday Habiba Habeeba Habibah Habeebah, https://music.apple.com/us/song/happy-birthday-habiba-habeeba-habibah-habeebah/1736292412
apple music, Happy Birthday Hai Hae Hye Hei Hay Haai Hy Hhai Hey, https://music.apple.com/us/song/happy-birthday-hai-hae-hye-hei-hay-haai-hy-hhai-hey/1728375046
apple music, Happy Birthday Haiyan Hain Hayan Hyun Haiyen Haein, https://music.apple.com/us/song/happy-birthday-haiyan-hain-hayan-hyun-haiyen-haein/1728340196
apple music, Happy Birthday Haji Hadji Hajji Haggi Haaji Haggie Hadjie, https://music.apple.com/us/song/happy-birthday-haji-hadji-hajji-haggi-haaji-haggie-hadjie/1728708222
apple music, Happy Birthday Halima Haleema Halimah Haliima Haleemah, https://music.apple.com/us/song/happy-birthday-halima-haleema-halimah-haliima-haleemah/1728375377
apple music, Happy Birthday Hamza Hamzah Hamzeh Hamzah Hamsa Hamzar, https://music.apple.com/us/song/happy-birthday-hamza-hamzah-hamzeh-hamzah-hamsa-hamzar/1731486117
apple music, Happy Birthday Han Hahn Hani Hane Haan Hanne Hann Haen Hanh, https://music.apple.com/us/song/happy-birthday-han-hahn-hani-hane-haan-hanne-hann-haen-hanh/1728667914
